size;sequential;parallel
13;0.000;0.001
14;0.001;0.002
15;0.001;0.003
16;0.003;0.006
17;0.005;0.013
18;0.011;0.027
19;0.024;0.047
20;0.050;0.052
21;0.106;0.074
22;0.227;0.113
23;0.493;0.184
24;1.056;0.364
25;2.255;0.712
26;4.796;1.423
27;10.222;2.863
28;21.422;5.778
29;45.197;11.773
30;94.909;24.317
